Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/pose_estimation,134,27,21000.0,24823.67371044785,3232.758300000569,97656.12559999863,1999.3880597014925,1.1685103987259895,0.2354461251164307,22000,28000,30000,35000,49000,60000,76000,97000,98000,98000,98000
,Aggregated,134,27,21000.0,24823.67371044785,3232.758300000569,97656.12559999863,1999.3880597014925,1.1685103987259895,0.2354461251164307,22000,28000,30000,35000,49000,60000,76000,97000,98000,98000,98000
