Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/pose_estimation,1,0,76621.58550000095,76621.58550000095,76621.58550000095,76621.58550000095,255.0,0.013034547914634523,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
,Aggregated,1,0,76621.58550000095,76621.58550000095,76621.58550000095,76621.58550000095,255.0,0.013034547914634523,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
