Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/pose_estimation,65,26,24000.0,29154.50879846142,2098.310900000797,56579.208399998606,1242.923076923077,0.5612974068170801,0.22451896272683203,24000,45000,50000,52000,55000,56000,56000,57000,57000,57000,57000
,Aggregated,65,26,24000.0,29154.50879846142,2098.310900000797,56579.208399998606,1242.923076923077,0.5612974068170801,0.22451896272683203,24000,45000,50000,52000,55000,56000,56000,57000,57000,57000,57000
