Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/pose_estimation,8,1,62000.0,63539.346949999526,28895.489699996688,91846.3774999982,879.25,0.08129144781734413,0.010161430977168016,63000,90000,91000,91000,92000,92000,92000,92000,92000,92000,92000
,Aggregated,8,1,62000.0,63539.346949999526,28895.489699996688,91846.3774999982,879.25,0.08129144781734413,0.010161430977168016,63000,90000,91000,91000,92000,92000,92000,92000,92000,92000,92000
