Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/pose_estimation,152,20,16000.0,24223.096103289485,2133.2025000010617,87580.36759999959,1755.875,1.2920057168803452,0.17000075222109806,16000,27000,36000,38000,52000,62000,75000,85000,88000,88000,88000
,Aggregated,152,20,16000.0,24223.096103289485,2133.2025000010617,87580.36759999959,1755.875,1.2920057168803452,0.17000075222109806,16000,27000,36000,38000,52000,62000,75000,85000,88000,88000,88000
