Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/pose_estimation,18,1,15000.0,16710.3858777777,3570.558699997491,30825.519500001974,1563.2777777777778,0.25903086809187087,0.014390603782881716,18000,19000,25000,26000,28000,31000,31000,31000,31000,31000,31000
,Aggregated,18,1,15000.0,16710.3858777777,3570.558699997491,30825.519500001974,1563.2777777777778,0.25903086809187087,0.014390603782881716,18000,19000,25000,26000,28000,31000,31000,31000,31000,31000,31000
